"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-08 17:56:59",1762624619307,"mpz-beta.vercel.app/api/videos","GET","",-1,"22w94-1762624608922-bc7aa249c0b7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"Vercel Runtime Timeout Error: Task timed out after 10 seconds","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZD6ZZEVQN4NMCY24QZ2","",-1
"2025-11-08 17:56:52",1762624612103,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",-1,"4h7qv-1762624601369-fac453dda441","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"Vercel Runtime Timeout Error: Task timed out after 10 seconds","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZECBK9RVKZVQR14NSX5","",-1
"2025-11-08 17:56:51",1762624611536,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",-1,"27xjv-1762624601358-40f94163ca81","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"Vercel Runtime Timeout Error: Task timed out after 10 seconds","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZD6ZZEVQN4NMCY24QZ2","",-1
"2025-11-08 17:56:49",1762624609304,"mpz-beta.vercel.app/api/videos","GET","",504,"22w94-1762624608922-bc7aa249c0b7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",10001,"iad1",71,2048,"","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZD6ZZEVQN4NMCY24QZ2","ypS2ZndCmkjF",2
"2025-11-08 17:56:42",1762624602103,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",-1,"4h7qv-1762624601369-fac453dda441","vercel-screenshot/1.0","info","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"[api/index.js] UPNSHARE_API_TOKEN: a152a...","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZECBK9RVKZVQR14NSX5","",-1
"2025-11-08 17:56:42",1762624602103,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",-1,"4h7qv-1762624601369-fac453dda441","vercel-screenshot/1.0","info","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"[api/index.js] Loading serverless function","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZECBK9RVKZVQR14NSX5","",-1
"2025-11-08 17:56:41",1762624601547,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",504,"4h7qv-1762624601369-fac453dda441","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",10424,"iad1",101,2048,"","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZECBK9RVKZVQR14NSX5","KH0QxHdmyLSL",1
"2025-11-08 17:56:41",1762624601542,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",-1,"27xjv-1762624601358-40f94163ca81","vercel-screenshot/1.0","info","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"[api/index.js] UPNSHARE_API_TOKEN: a152a...","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZD6ZZEVQN4NMCY24QZ2","",-1
"2025-11-08 17:56:41",1762624601542,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",-1,"27xjv-1762624601358-40f94163ca81","vercel-screenshot/1.0","info","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",-1,"iad1",-1,-1,"[api/index.js] Loading serverless function","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZD6ZZEVQN4NMCY24QZ2","",-1
"2025-11-08 17:56:41",1762624601510,"mpz-faql0fb8c-alcatecs-projects.vercel.app/api/videos","GET","",504,"27xjv-1762624601358-40f94163ca81","vercel-screenshot/1.0","error","production","main","","lambda","/api/index","mpz-faql0fb8c-alcatecs-projects.vercel.app","mpz-faql0fb8c-alcatecs-projects.vercel.app","dpl_EmKRLodC6eb67HdeFxGZQukGGuvW",10001,"iad1",104,2048,"","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9J9SZD6ZZEVQN4NMCY24QZ2","ypS2ZndCmkjF",2
